Prefix, Date, Type, Value, Status 
rasp1, Mon Oct 20 19:11:06 2014, humidity, 62.60, 0 
rasp1, Mon Oct 20 19:11:06 2014, temperature, 34.40, 0 
rasp1, Mon Oct 20 19:12:06 2014, humidity, 61.40, 0 
rasp1, Mon Oct 20 19:12:06 2014, temperature, 34.80, 0 
rasp1, Mon Oct 20 19:13:06 2014, humidity, 61.70, 0 
rasp1, Mon Oct 20 19:13:06 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 19:14:07 2014, humidity, 63.00, 0 
rasp1, Mon Oct 20 19:14:07 2014, temperature, 35.50, 0 
rasp1, Mon Oct 20 19:15:07 2014, humidity, 62.90, 0 
rasp1, Mon Oct 20 19:15:07 2014, temperature, 35.70, 0 
rasp1, Mon Oct 20 19:16:07 2014, humidity, 62.90, 0 
rasp1, Mon Oct 20 19:16:07 2014, temperature, 35.90, 0 
rasp1, Mon Oct 20 19:17:07 2014, humidity, 63.00, 0 
rasp1, Mon Oct 20 19:17:07 2014, temperature, 36.00, 0 
rasp1, Mon Oct 20 19:18:07 2014, humidity, 63.20, 0 
rasp1, Mon Oct 20 19:18:07 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 19:19:07 2014, humidity, 62.40, 0 
rasp1, Mon Oct 20 19:19:07 2014, temperature, 36.30, 0 
rasp1, Mon Oct 20 19:20:07 2014, humidity, 60.60, 0 
rasp1, Mon Oct 20 19:20:07 2014, temperature, 36.50, 0 
rasp1, Mon Oct 20 19:21:07 2014, humidity, 60.70, 0 
rasp1, Mon Oct 20 19:21:07 2014, temperature, 36.60, 0 
rasp1, Mon Oct 20 19:22:07 2014, humidity, 61.60, 0 
rasp1, Mon Oct 20 19:22:07 2014, temperature, 36.70, 0 
rasp1, Mon Oct 20 19:18:29 2014, humidity, 61.90, 0 
rasp1, Mon Oct 20 19:18:29 2014, temperature, 36.80, 0 
rasp1, Mon Oct 20 19:19:29 2014, humidity, 62.70, 0 
rasp1, Mon Oct 20 19:19:29 2014, temperature, 36.90, 0 
rasp1, Mon Oct 20 19:20:29 2014, humidity, 64.60, 0 
rasp1, Mon Oct 20 19:20:29 2014, temperature, 37.00, 0 
