Prefix	Date	Type	Value	Status	nodeIP
rasp1	Tue Aug 26 10:25:17 2014	temperature	27	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:26:17 2014	temperature	28	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:27:17 2014	temperature	29	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:28:17 2014	temperature	30	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:29:17 2014	temperature	31	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:30:17 2014	temperature	31	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:31:17 2014	temperature	32	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:32:17 2014	temperature	32	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:33:17 2014	temperature	32	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:34:17 2014	temperature	32	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:35:17 2014	temperature	33	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:36:17 2014	temperature	33	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:37:17 2014	temperature	33	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:38:17 2014	temperature	33	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:39:17 2014	temperature	34	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:40:17 2014	temperature	34	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:41:17 2014	temperature	34	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:42:17 2014	temperature	34	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:43:17 2014	temperature	34	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:44:17 2014	temperature	34	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:45:17 2014	temperature	34	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:46:17 2014	temperature	34	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:47:17 2014	temperature	35	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:48:17 2014	temperature	35	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:49:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:50:17 2014	temperature	35	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:51:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:52:17 2014	temperature	35	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:53:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:54:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:55:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:56:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:57:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:58:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 10:59:17 2014	temperature	35	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:00:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:01:17 2014	temperature	35	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:02:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:03:17 2014	temperature	35	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:04:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:05:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:06:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:07:17 2014	temperature	35	2	[0#3#5#6#6#5#0#7]
